text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08216049/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08216049/praesentation/opendata-strassen.csv
Gesamtergebnis,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08216049/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2692.csv?ts=1761581152468
Ortsteile,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08216049/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2693.csv?ts=1761581152468
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08216049/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_5496.csv?ts=1761581152468
