text,url
opendata-wahllokale.csv,https://wahlen.landkreis-boerde.de/20210926/15083531/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlen.landkreis-boerde.de/20210926/15083531/praesentation/opendata-strassen.csv
Stadt,https://wahlen.landkreis-boerde.de/20210926/15083531/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_11-65.csv?ts=1762117785049
Ortschaft,https://wahlen.landkreis-boerde.de/20210926/15083531/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_11-66.csv?ts=1762117785049
Ortsteil,https://wahlen.landkreis-boerde.de/20210926/15083531/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_11-67.csv?ts=1762117785049
Wahlbezirk,https://wahlen.landkreis-boerde.de/20210926/15083531/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_116.csv?ts=1762117785049
