text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08237074/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08237074/praesentation/opendata-strassen.csv
Wahlgebiet,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08237074/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2861.csv?ts=1762109728004
Ortsteil,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08237074/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2862.csv?ts=1762109728005
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08237074/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_5496.csv?ts=1762109728005
