text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125102/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125102/praesentation/opendata-strassen.csv
Stadt,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125102/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-4115.csv?ts=1762161828982
Ortsteile,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125102/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-4117.csv?ts=1762161828982
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125102/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_6476.csv?ts=1762161828982
