text,url
opendata-wahllokale.csv,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/opendata-strassen.csv
Verbandsgemeinde,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_11-71.csv?ts=1761222885205
Mitgliedsgemeinde,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_11-91.csv?ts=1761222885206
Wahlbezirk,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/Open-Data-Bundestagswahl-_Land-Sachsen-Anhalt_116.csv?ts=1761222885206
Gemeinde Gröningen,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/Open-Data-Buergermeisterwahl-Groeningen-_Verbandsgemeinde-Westliche-Boerde_10-75.csv?ts=1761222885206
Wahlbezirk,https://wahlen.landkreis-boerde.de/20210926/150835054/praesentation/Open-Data-Buergermeisterwahl-Groeningen-_Verbandsgemeinde-Westliche-Boerde_106.csv?ts=1761222885206
