text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/opendata-wahllokale.csv
Gemeinde,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-Gemeinde.csv?ts=1762104264192
OT Vöhringen,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-OT-Voehringen.csv?ts=1762104264192
OT Wittershausen,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-OT-Wittershausen.csv?ts=1762104264195
Briefwahl gesamt,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-Briefwahl-gesamt.csv?ts=1762104264195
Briefwahl Vöringen,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-Briefwahl-Voeringen.csv?ts=1762104264195
Briefwahl Wittershausen,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-Briefwahl-Wittershausen.csv?ts=1762104264195
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08325061/daten/opendata/Open-Data-08325061-Bundestagswahl-2021-Wahlbezirk.csv?ts=1762104264195
