text,url
opendata-wahllokale.csv,https://wahlen.kdvz.nrw/production/bw2021/05122000/daten/opendata/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlen.kdvz.nrw/production/bw2021/05122000/daten/opendata/opendata-strassen.csv
Gemeinde-Ergebnis,https://wahlen.kdvz.nrw/production/bw2021/05122000/daten/opendata/Open-Data-05122000-Wahl-zum-Deutschen-Bundestag-Gemeinde.csv?ts=1761582890328
Übersicht über Stadtbezirke,https://wahlen.kdvz.nrw/production/bw2021/05122000/daten/opendata/Open-Data-05122000-Wahl-zum-Deutschen-Bundestag-Stadtbezirk.csv?ts=1761582890328
Übersicht über Kommunalwahlbezirke,https://wahlen.kdvz.nrw/production/bw2021/05122000/daten/opendata/Open-Data-05122000-Wahl-zum-Deutschen-Bundestag-Kommunalwahlbezirk.csv?ts=1761582890328
Übersicht über Wahlbezirke,https://wahlen.kdvz.nrw/production/bw2021/05122000/daten/opendata/Open-Data-05122000-Wahl-zum-Deutschen-Bundestag-Wahlbezirk.csv?ts=1761582890328
