text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08115052/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08115052/praesentation/opendata-strassen.csv
Gemeinde,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08115052/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-3052.csv?ts=1761156213173
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08115052/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_6476.csv?ts=1761156213173
Gemeinde,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08115052/praesentation/Open-Data-Buergerentscheid-2021-_Gemeinde-Weissach_688-3053.csv?ts=1761156213173
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08115052/praesentation/Open-Data-Buergerentscheid-2021-_Gemeinde-Weissach_6886.csv?ts=1761156213173
