text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08337000/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08337000/praesentation/opendata-strassen.csv
Landkreis,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08337000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_567-2939.csv?ts=1762113359213
Gemeinde,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08337000/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_5673.csv?ts=1762113359213
Gemeinden (Wahlkreise: 288),https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08337000/praesentation/Open-Data-Bundestagswahl-2021-Gemeinden-_Wahlkreis-288_.csv?ts=1762113359213
Bezirke (Wahlkreise: 288),https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08337000/praesentation/Open-Data-Bundestagswahl-2021-Bezirke-_Wahlkreis-288_.csv?ts=1762113359213
