text,url
opendata-wahllokale.csv,https://votemanager-ks.ekom21cdn.de/2021-09-26/06636000/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://votemanager-ks.ekom21cdn.de/2021-09-26/06636000/praesentation/opendata-strassen.csv
Kreis-Ergebnis,https://votemanager-ks.ekom21cdn.de/2021-09-26/06636000/praesentation/Open-Data-Bundestagswahl3941.csv?ts=1761218683732
Übersicht über Wahlkreise,https://votemanager-ks.ekom21cdn.de/2021-09-26/06636000/praesentation/Open-Data-Bundestagswahl3942.csv?ts=1761218683732
Übersicht über Gemeinden,https://votemanager-ks.ekom21cdn.de/2021-09-26/06636000/praesentation/Open-Data-Bundestagswahl3943.csv?ts=1761218683732
