text,url
opendata-wahllokale.csv,https://wahlen.kdvz.nrw/production/bw2021/05966028/daten/opendata/opendata-wahllokale.csv
Gemeinde-Ergebnis,https://wahlen.kdvz.nrw/production/bw2021/05966028/daten/opendata/Open-Data-05966028-Wahl-zum-Deutschen-Bundestag-Gemeinde.csv?ts=1761216039492
Übersicht über Ortsteile,https://wahlen.kdvz.nrw/production/bw2021/05966028/daten/opendata/Open-Data-05966028-Wahl-zum-Deutschen-Bundestag-Ortsteil.csv?ts=1761216039492
Übersicht über Wahlbezirke,https://wahlen.kdvz.nrw/production/bw2021/05966028/daten/opendata/Open-Data-05966028-Wahl-zum-Deutschen-Bundestag-Wahlbezirk.csv?ts=1761216039492
