text,url
opendata-wahllokale.csv,https://votemanager.kdo.de/20210926/130765666/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://votemanager.kdo.de/20210926/130765666/praesentation/opendata-strassen.csv
Gemeinde-Ergebnis,https://votemanager.kdo.de/20210926/130765666/praesentation/Open-Data-Bundestagswahl2493.csv?ts=1761557061592
Übersicht über Mitgliedsgemeinden,https://votemanager.kdo.de/20210926/130765666/praesentation/Open-Data-Bundestagswahl2498.csv?ts=1761557061592
Übersicht über Wahlbezirke,https://votemanager.kdo.de/20210926/130765666/praesentation/Open-Data-Bundestagswahl2496.csv?ts=1761557061592
Gemeinde-Ergebnis,https://votemanager.kdo.de/20210926/130765666/praesentation/Open-Data-Landtagswahl-MV2523.csv?ts=1761557061592
Übersicht über Mitgliedsgemeinden,https://votemanager.kdo.de/20210926/130765666/praesentation/Open-Data-Landtagswahl-MV2528.csv?ts=1761557061592
Übersicht über Wahlbezirke,https://votemanager.kdo.de/20210926/130765666/praesentation/Open-Data-Landtagswahl-MV2526.csv?ts=1761557061592
