text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226103/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226103/praesentation/opendata-strassen.csv
Gemeinde,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226103/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2813.csv?ts=1761645874301
Rot,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226103/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-3037.csv?ts=1761645874301
St. Leon,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226103/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-3038.csv?ts=1761645874301
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226103/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_5496.csv?ts=1761645874301
