text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/opendata-strassen.csv
Gesamtergebnis,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2591.csv?ts=1761142737266
Gesamtergebnis Altenbach,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2593.csv?ts=1761142737266
Gesamtergebnis Ursenbach,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2594.csv?ts=1761142737266
Briefwahl Gesamt,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_549-2592.csv?ts=1761142737266
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08226082/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_5496.csv?ts=1761142737266
