text,url
opendata-wahllokale.csv,https://wahlen.kdvz.nrw/production/bw2021/05374052/daten/opendata/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlen.kdvz.nrw/production/bw2021/05374052/daten/opendata/opendata-strassen.csv
Gemeinde-Ergebnis,https://wahlen.kdvz.nrw/production/bw2021/05374052/daten/opendata/Open-Data-05374052-Wahl-zum-Deutschen-Bundestag-Gemeinde.csv?ts=1761556252950
Übersicht über Stadtteile,https://wahlen.kdvz.nrw/production/bw2021/05374052/daten/opendata/Open-Data-05374052-Wahl-zum-Deutschen-Bundestag-Stadtteil.csv?ts=1761556252950
Übersicht über Gruppierungen,https://wahlen.kdvz.nrw/production/bw2021/05374052/daten/opendata/Open-Data-05374052-Wahl-zum-Deutschen-Bundestag-Gruppierung.csv?ts=1761556252950
Übersicht über Wahlbezirke,https://wahlen.kdvz.nrw/production/bw2021/05374052/daten/opendata/Open-Data-05374052-Wahl-zum-Deutschen-Bundestag-Wahlbezirk.csv?ts=1761556252950
