text,url
opendata-wahllokale.csv,https://wahlen.regioit.de/4/bt2021/14524330/daten/opendata/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlen.regioit.de/4/bt2021/14524330/daten/opendata/opendata-strassen.csv
Briefwahlergebnis,https://wahlen.regioit.de/4/bt2021/14524330/daten/opendata/Open-Data-14524330-Bundestagswahl-Briefwahlergebnis.csv?ts=1761570809148
Stadt,https://wahlen.regioit.de/4/bt2021/14524330/daten/opendata/Open-Data-14524330-Bundestagswahl-Stadt.csv?ts=1761570809148
Wahlbezirk,https://wahlen.regioit.de/4/bt2021/14524330/daten/opendata/Open-Data-14524330-Bundestagswahl-Wahlbezirk.csv?ts=1761570809148
