text,url
opendata-wahllokale.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125107/praesentation/opendata-wahllokale.csv
opendata-strassen.csv,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125107/praesentation/opendata-strassen.csv
Gemeinde,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125107/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-3555.csv?ts=1761562762343
Ortsteil,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125107/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_647-3636.csv?ts=1761562762343
Wahlbezirk,https://wahlergebnisse.komm.one/lb/produktion/wahltermin-20210926/08125107/praesentation/Open-Data-Bundestagswahl-2021-_Land-BW_6476.csv?ts=1761562762343
